Text	Index
 #ivaccinisonosicuri nadia cats: vaccine victims are a reality and have rights that should not be trampled on user links	A407
user user I also believe the third wave with the decimation of the population the block until March 2021 and with the warning that if they would have done the vaccine there would not have been all these deaths. the vaccine kills twice as much as the muzzle	A76
the ministry of health sentenced to compensate the non-material damage to a family that lost their daughter in 2009 as a result of an encephalitis caused by a vaccination and that has never seen a compensation established by the tar in 2007. a delay of 12 years by the ministry link	A924
 just happened to forget to mention the fact that the dead girl had been vaccinated. coincidentally among all the unvaccinated, then the vaccinated often die. but it will be because the vaccine creates an imbalance ... link	A836
 the US agency offers legal immunity to producers of #ebola vaccines. The new #ervebo vaccine is a live virus vaccine, which releases the rna of the virus into the blood, saliva, urine and skin blister fluids of vaccinated adults.	A989
 a pharmaceutical company that has defrauded the NHS, will make an anticovid vaccine tested only in dribs and drabs. the perfect crime. count retire!	A1307
 use the vaccine I don't	A135
user user user user user user user user_maccari do you know where they can put their useless and lousy vaccine? anthony fauci said the vaccine increases the risk of infection. vaccines are harmful. go to see the results of the analysis on 4 vaccines presented to the chamber.	A129
user I am against this vaccine in particular. the vaccine is made with the same cells as the virus, covid-19 is a mixture of the bat and the mouse cell. getting injected with this crap horrifies me. we must rebel against this vaccine.	A276
user user of dr zelenko's 900 patients none died. look forward to these trials on patients who die 90% after days of ti? or do we give him tachipirina waiting for an elusive vaccine that will not work because the virus mutates quickly? and finally, what interest would bigfarma have?	A66
asl of #reggioemilia ssr #emiliaromagna this invitation to vaccination for a non-mandatory #vaccine to be reported! you are criminals sold to #gsk and the parents who accepted are idiots because they do not inform themselves! link	A513
 the #vaccine is safe ... except when there is an adverse reaction. the state pays, that is, we pay with taxes because those who produce know very well that there are adverse reactions! there can be no obligation where there is a risk! #free choice link	A900
Have you ever heard of a vaccine that caused severe collateral damage to 5 people in one month in the same province? precisely. #meningite #bergamo link via user	A524
they get the flu shot, then they get sick and get the flu, some unfortunately die, and they don't even ask questions. you can die of flu at 11 ... no, you can die by injecting neurotoxic substances ... yes. link link link	A808
"but his strong words of yesterday 10 May 2020, leave no room for doubt. ""America starts again and #covid is deflating without the aid of any present and future vaccine"" a sensational rejection of the project advocated by #oms, #billgates and #anthonyfauci. link"	A1059
 post in the comments all the photos of your damaged children, even those who unfortunately are no longer there today! do not hide behind a keyboard the complicit silence !!!! put photo name and then write damaged by vaccine! link link	A1168
" .. ""special guest"": peasants ""pediatrician"" who offers us the terms of the new vaccine, very ready, indeed: it's here! #popolobue hostage and psychically involved nova syndrome # sindromelombardia® (the use of the hashtag is subject to the donation of coins, waiting for a good meal) link"	A12
if the problem was the vaccine income I paid for it separately. instead the problem is we are the guinea pigs to see if it goes well (rsa), this choice is of our owners. since 1934 they have forcibly stolen our savings with the crak crisis, earthquakes etc. and the rulers too.	A1235
 the #vaccine and its side effects: in africa there are more cases of derived polio than of wild virus. but don't worry, it will be the fault of #novax again link	A902
 wonder! now even beppe grillo is granted a commercial in support of the vaccine against human papilloma virus. but let's pretend that years ago it condemned its indiscriminate use ... link	A1078
user user and also the damages are borne by us and not by the manufacturing companies. 6,000,000 euros spent on damage from #vaccino only in #emiliaromagna. would like to know the total in all of Italy. link	A227
" the study that denies everything ► ""useless vaccine! trivial covid virus that ... user link"	A1045
 what drives robert f. #kennedy jr. to expose himself to the point of publicly challenging #merck, manufacturer of the #gardasil vaccine, to sue him for slander ????? #vaccines link	A731
 user user user user_di_marzo user_gori but this is a disease that does not give immunity, and therefore it will not be a vaccine to solve the problem	A235
user user if getting sick from covid-19 and healing it does not confer immunity, how can a vaccine ever confer it? he thinks he is smart enough to label the sen as demented. cunial but at the same time fails to make such an elementary deduction ...	A330
for those who still haven't understood it. the goal of pharmaceutical companies is to enter the market for healthy people. healthy people are all the inhabitants of the earth, 7 billion potential customers, sick people only a microscopic percentage of them. link	A1149
from #henrykissinger's speech to the user on 25.02.09. there is a certain similarity with the intentions of user / # rockefeller, who is the intellectual heir ... now, under the #vaccines ..! #covid ー 19 #coronavirus # covid19 #novax link	A1283
 let's see if you understand what the fuck! rich children exempt from vaccines in america !!!! now, according to you, they want to kill the children of the rich, or can the poor people be sacrificed with vaccines ????? come on, get there before they shoot the microchip up your ass! link	A1359
 the image I attached to this tweet is a post published on fb by barbara nardella, little samuel's grandmother, who writes that a second autopsy was carried out on the child's body, from which it emerged that he died due to a vaccine ... follows	A991
November 19, 2019! invalid due to the flu vaccine. the ministry of health sentenced to compensate her	A449
"""Covid-19 is like hiv: there will never be a vaccine, only a drug will save us"": the Apulian study on coronavirus not accepted by the government - # covid-19 # hiv: #vaccine # will save link"	A49
 user bobby kennedy jr. claims that dr. jaws and the gates foundation will make billions on the bobby kennedy jr coronavirus vaccine. is warning the world of the dangers of vaccinations. link link	A268
 user user give your loved ones the treacherous vaccine of the homeland. I wish you to pay all this as soon as possible.	A247
 the business of #vaccines. not to mention the fact that vaccinated children get much sicker than others. link	A908
 potentially lethal disease: - no cure - no vaccine no obligation but trust. exanthematous diseases: - curable - potentially harmless obligation, sanction, nos, exclusions, social ghettoization, derision, persecution and marginalization allowed. #vaccines link	A1067
user last now! #aifa prohibits treatments! the pandemic must continue to get to the #vaccine !!! stop these criminals! commissariate aifa! 33,000 victims are not enough! #covid #coronavirus link	A71
the vaccination industry, history and counter-history - pietro ratto # byoblu24 link 31	A1025
 there is a child in intensive care due to fever and seizures after the mprv vaccine but no one talks about it. how come? #vaccines link	A555
user user_2022 that you start to try it hope count of maio and mattarella .... I believe my place to them ... and who gets the vaccine ????	A309
 after the pregliasco interview that publicly declared the importance of the flu vaccine to prevent #coronarvirus, I understood what it is for having generated the panic we have been witnessing for days: to dispose of the doses of flu vaccine! simple...????	A776
user user user I will be ignorant and backward, but I will not vaccinate. what good will they put in it?	A223
let's talk about the effectiveness of the flu vaccine: coverage among the elderly over 65 increased from 20% in 1980 to 61% in 2001. over the same period of time, estimates of mortality in the same age group increased. link	A1142
christian, injured by vaccine at age 5. before I was a very normal and happy child. no recognition, no help for treatment, total denial by the institutions. because the injured and the dead from vaccines exist, despite what burioni link tells you	A573
a year ago little samuel di martino died, a few hours after the administration of a vaccine, antimeningococcus b produced by glaxo. the prosecutor appoints an expert to establish the truth about the terrible disappearance of a 5-month-old puppy. follows link	A1300
oops !!! but like science, super safe vaccines ... who knows how many lies Lorenzin and company have told us. who had doubts was a flat-earth right? link	A1133
help! by 2025, vaccines will rise to 18, including inactivated polio vaccine (ipv), rabies vaccines and multivalent meningococcal drugs. by 2025 gavi immunizzer 300 million people in developing countries - link via user	A482
 just happened to forget to mention the fact that the dead girl had been vaccinated. coincidentally among all the unvaccinated, then the vaccinated often die. but it will be because the #vaccine creates an imbalance in antigenic immunity cit. alessio tomasello link	A835
" ""global vaccine safety summit"": leading experts in the sector have doubts about the safety of #vaccines. there are no adequate studies on long-term reactions and adverse reactions of adjuvants, especially when combined with each other. (sub ita). link"	A23
in the first photo campaign paid by big pharma for 200 cases per year on the entire Italian population, in the second the data of the adverse reactions to the #vaccine mprv: 400 adverse reactions every 1,000 doses (of which 40 serious) come and talk about the benefit risk #free choice link	A1100
#nanoviricidesinc shares earn 74% guess what they produce? the experimental vaccine against #coronavirus! .......... and antiamooooooo! ??????????????????????????????????????? link	A1028
houston, texas. school closed until January 7 due to an epidemic of whooping cough. all students are vaccinated for whooping cough. 100% coverage. epidemic. don't you also hear the crunch of their lies? link	A846
prof. tarro: anyone who proposes the vaccine against covid 19 should be put in jail (video) link	A1176
user user_meluzzi reduce the world population this is the project they did not succeed with the covid they will try with a vaccine created quickly with a nanotechnology system	A188
 #vaccines invalid due to a #antifluenza vaccine. the ministry of health sentenced to compensate her. vaccines are drugs. be wary of anyone who tells you they are safe and have no side effects. there is no going back. link	A429
user user will finally use the truth. I have been a doctor for 40 years! never hospitalized anyone for the measles neither me nor my 30 colleagues in my district! tetravalent vaccine = business. then the meningitis .... they don't care a fig !!!	A282
November 19, 2019 ... after a life spent in a wheelchair due to a flu shot, the ministry of health is sentenced to compensate the victim for the damage suffered! #vaccines #ministerodellecasefarmaceutiche link	A450
today it is 7 years since giacomo flew away ... after atrocious suffering caused by a vaccine that made him quadriplegic! a huge hug goes to his very brave parents, mario and concetta, always in the front row for the battle in favor of freedom of vaccination choice.	A1130
 have you vaccinated your girls? then it will be up to the boys too! they oblige you by making you believe that it is right. this is the result. link	A525
 user user jack kalman: “after reading this study, it takes the nature of a kamikaze to get vaccinated but to get one's child vaccinated one must have already reached the abyss of lack of conscience. from a scientific point of view, every vaccination is a scandal ”.	A176
Italy at the time of the #eu: forced vaccination, euro, immigration, gender dictatorship, Islamization, child theft (bibbiano), uterus for rent, fornero law (working life sentence), jobs act (firing to resume at half salary), unsustainable taxation .. #exit link	A994
 why still call it ministry of health? link	A1158
 mandatory vaccine for all politicians! link	A1345
 this omission about vaccine damage confirms that our health is absolutely not considered a priority. in the first place the business of the pharmaceutical giants! link	A1197
" #coronavirus, the terror will continue until the ""# miracle vaccine"" arrives. there is no shortage of deaths to exploit ... link"	A377
 causal link between hexavalent vaccination and the pathology from which the minor suffers: what was established by a sentence of the labor and social security section of the court of lamezia terme which sentenced the? user? #vaccines link	A1
 today on tv the glaxo advertised the vaccine for meningitis b stating that the other vaccines for meningitis do not do much ..... if before they made me sick now I would set them on fire .... (cit.)	A1128
" #vaccines: she ""committed suicide"" with two blows to the head for having revealed the distortions of the #vaccination programs. shot herself, then rose again to shoot herself again. ???? #trumanshow vaccines kill. link"	A432
 #vaccines are always safe ... or not? link #vaccine #health	A867
link historical sentence: the council of state condemns the ministry of health to compensate for delay in the payment of compensation due to a girl injured by vaccine, who died after excruciating suffering at the age of 32 #vaccines #justice	A854
" ""There is no evidence that the hpv vaccine has prevented even a single case of cervical cancer anywhere in the world."	A36
" ""the #vaccination industry"". the adventure continues. before leaving! link link"	A28
 but sometimes look at the case, the media does nothing but talk about #coronavirus and, taaaaaaac, immediately we get to work for a special vaccine. but look at coincidences sometimes. link	A1051
 German study of children vaccinated versus unvaccinated. guess who is healthier and healthier? link	A1269
from #vaccines to #nanochips (other than #microchip rfid). we said, the way that, now they tell us to the face that they want to reduce us to cyborgs and then sweep away what remains of human. and we are going through it like a red arrow. link	A749
I have no words, I am without restraint! the pathologist who performed the autopsy on little zakaria, who died 5 months 24 hours after vaccination, a doctor involved in the biopsy scandal in Milan ... link	A1116
 corvelva association - merck vaccine, the case of whistleblowers towards a resolution link	A516
user user_2018 very true. when they call us for the vaccine we send them all to fuck up.	A160
never, never will !!!!! covid19 vaccine, astrazeneca: «it will cost a few euros, it is already in production. test results by summer »link	A1066
 user user you have sold yourself to the bill for a vaccine that you don't need because there are other medicines or other cheap methods.	A302
"user ""risk 0 without a vaccine does not exist"" ... but then you haven't studied .. the virus changes continuously so the vaccine is useless ... unfortunately the mainstream still makes victims with controlled information"	A111
" U.N. Scientist Admits Vaccines Kill People During ""Vaccine Safety Summit"""	A1311
" there are too many damaged by vaccines! The data reported is an underestimate; in fact, there is a shortage of those who, although recognized as damaged, have not been compensated because the related requests were presented in an untimely manner. link"	A872
 no hunting ... period! they have a fucking fear to discover that the vaccine causes it! link	A1102
" the virologist tarro: ""coronavirus, the vaccine is not needed"" and attacks burioni link"	A953
 user user_meluzzi vaccinate yourselves, I want a cure, not a vaccine.	A201
the official data of the region on vaccine victims in Emilia Romagna link	A874
" invalid due to the flu vaccine. the newspaper talks about an ""incredible story"". the incredible story is so incredible that it has already happened to hundreds of people. link"	A976
 the mayor of rieti gets the #vaccine for the first time and gets a strong #influenza, caused by the vaccine, as he himself admits. link	A935
 users are all so hallucinated by absorbed media terrorism that as soon as the vaccine comes out they will elbow to get it by not only taking a useless step (there is no vaccine for a virus that moreover changes continuously) but lending themselves to be inoculated	A275
"as for 2019 also for 2020 this must be a warning. so that it is not ""just a question of pinprick"" ... link"	A583
 user user user user have centuries of experience. not create an anti-human virus without thinking about the vaccine first ...	A209
and also this year the #influenza vaccine was useless given that parainfluenza viruses are much more widespread congratulations to the regions that continue to throw money to carry out the vaccination campaign every year #lascienza link link	A785
if you fight for the true catholic church against the lutheran masonic imposture of bergoglio in accordance with the masonic plan of the false covid-19 pandemic, as a pretext to codify yourself with the fake vaccine you will win because christ will be with you! link link	A1233
 Gates' vaccine changes DNA: scientists and ethics experts sound the alarm link link	A943
 user meanwhile, as a league, you have voted in Lombardy for the obligation of vaccines. each of you is carrying out something lousy .. your vaccine will be worse for our health than their mes or migrants! unworthy, and I, fool, who voted for you	A325
 user user you are calibrated ... you make the vaccine	A125
user I don't vaccinate	A255
 we begin to say that maybe children suffer from other pathologies, for heaven's sake it can happen, but you make sure before you get the vaccine, not after with the autopsy ... it's easy after the various excuses ... you should pay the damages link	A1244
"""dtp vaccination was associated with 5 times higher mortality than non-vaccination ... all the evidence currently available suggests that the dtp vaccine can kill more children than it saves from diphtheria, tetanus or pertussis"" link"	A31
the #vaccine the only way to cure # covid_19! here's who put our #health user in their hands: ⬇️ scams, sexual harassment, falsified searches and damage to public health systems: here's who will provide the (mandatory) anti-covid vaccine link	A904
Is this journalism? another #fakenews on racism that there was no .. but no complaint for the #vaccine he killed, it's you who sucks. you liar journalist link	A1201
" user_grillo ""final solution"", an apt term. is the anti hpv the most subtle and efficient means of chemical castration? link"	A130
luogocomune: where have the novax gone? rest assured, they are all here, watching you sink into the ridiculous link 97	A1047
errata: the friend who passed me the service reminds me that it is from 2013 ... or a time when talking about vaccine damage was still allowed!	A803
Indian doctors blame gates for a devastating vaccine polio epidemic that paralyzed 496,000 children between 2000 and 2017. In 2017, the Indian government recalled the gates vaccination regime and evicted gates. link	A879
user indeed, it will tell you more. mass vaccination with a vaccine consisting of an attenuated live virus at a time of epidemic could even exacerbate it.	A77
yesterday the father of a very dear friend of mine died. he was 73 years old. he had been given the flu vaccine and from there began an ordeal: pneumonia, neurological and walking problems, which led him to a wheelchair. #lastragesilenziosa	A893
" ""cot death gentlemen ... tell everyone"" mah .... really the second autopsy incriminates the vaccine! ""ah s?"" .... ????????????????????? I wish you to die very badly link"	A35
m5s: the anti-covid vaccine must be mandatory. the faithful slaves of rockefeller and gates link	A1048
user_cersei user user me not even only that they will also close us with the id2020 program and you will have to prove that you have had the vaccine if you want to go somewhere .. #immune is just the beginning to get used to it .. the frog is slow boiling in the pot	A174
"then using the vaccine for those who have already done it is useless, counting then also that if you take it back you will take it back in a lighter way ... the 4th time you do it does not give you a bat anymore? all I'm institutional panic is just for this international ""race"" on the virus and that's it"	A169
dies at 5 years after vaccination but not the fault of the vaccine but of a bacterial infection they say. the recall made, according to the vaccination schedule, the dtpa, anti diphtheria, tetanus and pertussis. all three are bacterial infections. you do???? link	A1095
 #meningite #bergamo and even today the #vaccine works tomorrow ??????? goats !! link	A412
no need to add more ... #vaccine # 14aprile # covid19 link	A1118
it was the year 2010, then everything fell into oblivion. who knows why. #vaccines link	A727
 valink hexavalent, here is the confidential document glaxo that cites the autism link	A1356
the #vaccine has nothing to do with it ... you are really fucking geniuses ... two very healthy twins are very ill less than 24 hours after the vaccine. the boy dies, the girl is saved. the vaccine has nothing to do with it. countries on the other side of the world, poor, with malnutrition e	A903
the protagonist, damaged with recognition of the cause in the administration of a vaccine, who lived her entire life in bed, until her death during the judicial proceedings, at only 32 years old. link via user	A1014
wonder: the cold is a coronavirus, right? they say it is impossible to eradicate and its continuous change makes vaccination useless ... in australia animal tests passed for covid19 ... what the hell are they preparing for us and that will be mandatory by law?	A1081
 he needs saliva, to trace the dna ... the dna and rna ... to make you the frequency modulation vaccine! the thing is simple either we exterminate them first, or it is certain that they will exterminate us! cause of death! link	A828
 the problem in lombardy and in bergamo and cremona razed to the ground is precisely due not to the coronavirus of which we have so many in our body because they are flu viruses but it is due precisely to the immunosuppression created by the carpet vaccination done previously	A933
have you ever thought about dying of ebola? if a company produces a product because that good must be sold. are we sure that the target market for this vaccine will remain only West Africa? link	A838
we have arrived at the absurdity for which now it is hoped that the # codiv_19 is still pandemic to create the #vaccine. whoever hopes so should be the first to get infected, so he can test the vaccine on himself #coronavirus	A1247
between the hexavalent vaccine and the anti pneumococcal vaccine, the amount of aluminum administered to a two-month-old infant 0.945 mg. thus the dose considered safe for an infant greatly exceeds that considered worrying for an adult, if ingested (indeed: absorbed by the intestine). link	A818
no use to Plexiglas, masks, visors, but hygiene, collaboration between parents and teachers and common sense, sick children stay at home. young people are not at risk, many of them are prob already immune by being carriers. no to a novel vaccine. protect the elderly and people at risk.	A326
Coronavirus live video: it will not be the vaccine that will get us out of the covid-19 nightmare. the virologist talks capua link #meteo via user	A610
 throw away the money with vaccines (who cares! they are taxpayers' money) and continue not to implement the already scarce health supply! this, unfortunately, is the situation. thanks to our politicians ... corrupt? link	A1243
 Does twitter use censorship? I post tweets about vaccine damage and the logical consequence that where there is risk, freedom of choice is required! I think that on this issue we must all agree ... but, why my followers continue to decrease. I repeat: censorship ???	A1298
yesterday + 71% for the company that is producing the #vaccine for the #coronavirus. #lascienza per tells us that it is not convenient for them to produce vaccines, so it will surely be a case of #libertadiscelta link	A892
it seems to me that it is essential to investigate the lethality of covid 19 in the Bergamo area in the hypothesis that the concomitance of the influenza vaccine and the anti meningococcal one has sent the immune system into a tailspin !!!	A1084
 users there are no safe vaccines even for much older viruses ... there are no cures for a lot of diseases that people have to live with .... angry because health and research should be a priority here the priority is only this covid vaccine as do not think bad ..	A159
 flu vaccine = first #vaccine affected by prosecution in the united states. and here in Italy they recommend it to pregnant women !!!!!!!	A1341
"""we are talking about freevax: we mean the votes, and above all the face, that they have lost compared to the topic of vaccinations? if you don't believe it anymore, if you don't have the balls, stay at home"". or damaged by #vaccine #free choice link"	A41
 user user with our money! there is the cure, the disease does not give immunity, the vaccine is not needed! give money to businesses and people! before the vaccine you will go to jail!	A250
 global vaccination will kill you if you accept it - book of truth (posts by topic) - - global vaccination: one of the most evil forms of genocide ever seen since the death of the jews under hitler .... link	A1312
 dr. john bergman reveals flu vaccine: spreading cancrolink link	A913
user user_rf the treatment with plasma becomes an obstacle for count and bill gates' vaccine then sends the mafia's servants to prevent people from getting well: if you are healthy you don't pay !!!	A122
 user user you get a vaccine born from a virus that disappeared months ago. because, according to them, the covid changes quickly. mah.	A173
 read this post. but above all the comments. each parent chose to post and tell the story of their vaccine-damaged child. they exist, and they will remind everyone. always. #vaccines link	A1039
 there is a lack of staff, families forced to give up treatment but on the other hand the #vaccine is free and safe! no one doubts that our health does not interest those who cut funds to health and treat us like battery chickens? source: link link	A1069
user user user my children, unfortunately vaccinated, one has allergies and the other cognitive difficulties. but there are hundreds of young people full of allergies, autistic, with cognitive problems, coincidentally increased exponentially with vaccination. I had known what I know today zero vaccines	A202
 users have managed to create a climate of terror, that only by injecting massive doses of seasonal vaccines many idiots will perhaps stop fucking the fuck ... #coronavirus #covid #vaccine #fear #terror	A284
 user user we welcomed, to avoid terrorism. we vaccinated under blackmail of public education, to educate our children. (including side effects) result? we are under bacterial attack, while our children are forced to go to school without a vaccine!	A149
when even on the information leaflets of the diphtheria tetanus pertussis and polio vaccine (dtap) it is written that it can cause sudden infant death (#sids) but #scienzah still does not know how to explain the reason for cot death ... read the information leaflets, for example? no? link	A1181
 link the court condemns the ministry of health, which does not pay ... despite being found guilty! beyond the vaccine damage ... the insult! #vaccines #stragedistato	A860
@ _fede_6 user and cmq if it weakens a lot then it disappears by itself or no one contracts it and gets sick anymore and it is useless to get the vaccine. and instead they insist on the vaccine.	A62
 because so many elderly people and many fetuses die after the #vaccine #antinfluenza. the pharmacologist and nanopathologist stefano #montanari explains it. link	A1159
april 16, 2020 pentagon study: flu shot raises risk of coronavirus by 36% (and other supporting studies) link user user many may have fallen ill with # covid19 x flu vaccines taken. no to compulsory vaccination. be responsible.	A3
the polio vaccine contains a monkey virus (sv40) the monkey is immune to this, but to humans it carries bone cancer brain tumor.	A941
link vaccine victims exist: 691 are the subjects recognized and compensated by the state as of 31 December 2018, of which 27 have died. nadia cats, president of the condav, gives us the data ... happy reading!	A859
 at the WHO World Vaccine Safety Summit made surprising revelations: vaccines can be deadly safety studies are ineffective inadequate safety monitoring adjuvants increase risk link link	A489
user but we all make a nice vaccine with an integrated rfid chip! bill has already thought of it.	A290
" ???? #ilmondoallarovescia If you are a doctor who orders prevaccinal tests to prevent damage, you are a doctor without ""scruples and scams"". while if you categorically deny the damage caused by #vaccine and send the children of trusted parents to the slaughterhouse, you are a conscientious doctor! link"	A4
" read this mother's comment on the vaccine that possibly took her daughter away from her. even a doctor confirmed it to him but added that no one ""could ever declare it"". the testimonies of mothers who have started screaming, their pain is no longer held. #vaccines link"	A1038
 better late than never ... comparison woke up ... listen to what he says about vaccinations! ???? link	A1073
"... we are support pieces for big projects, for bigger projects, a vaccine that annihilates covid-19, coronavirus, h1n1 etc. .. ... we are here, inexorably present .. "".. . busy!"""	A9
the 3-month-old baby who died of meningitis ... a strange coincidence if you consider that last week the baby had been subjected to the vaccine of his #meningitis #toast #vaccines link	A906
brescia. 19 year old student dies of meningitis. solution: vaccinate everyone on the carpet. pity they don't tell you two things .... 1) the girl was vaccinated against meningitis. 2) meningitis may be an adverse event to the infarix hexa hexavalent vaccine. link	A550
 us with trump | dr. fauci confirms at the congress how the vaccine feeds the danger of the coronavirus link	A1110
user_sn American study: among those vaccinated for influenza + 36% of covid19 in severe form link	A218
does anyone remember the name of the governor of the region who boasts of having given the idea for the #lorenzin law with a regional law that was the first to exclude non #vaccinated children from municipal nurseries? let's remember January 26 ???? #bonaccini link	A1180
 user_s_leotta immunosuppressed people wear a mask stop I am allergic and I do not have a clear vaccine? I put on a mask to protect them and that they wear it too.	A102
 user tranqi that with the vaccine we halve	B121
 solidarity pregnancy. the supportive vaccine. the solidarity pass. solidarity properties. the magic word to cover up the filth.	B314
 I do not regret those who inoculate the serum, if they die anyway from covid or no correlation, I'm sorry for them. #subtle differences	B421
user user is exactly like that. I would also like to know how many deaths from coronavirus and how many with coronavirus. but we will never know this information, it is important to deny that the vaccine is potentially dangerous.	B402
" user ""force"", the government and institutions want to force an experimental and dangerous vaccine into people. throw out these fascist thugs !!!"	B335
 lecture by doctor charles morgan at the military academy of west point: remote control of the human brain via vaccines mrna - database italia link via user	B234
 that is, all this money spent on vaccines (in the process of being tested) only serves to enrich bigpharma. other than days of remembrance ... 💣💣	B277
" link #astrazeneca, #antonellaviola and the alarm on #vaccines: ""the #risks far outweigh the #benefits, but haven't they read it?"" #free daily"	B213
teacher in serious condition at the polyclinic, she was given astrazeneca: the report goes to the aifa link	B435
not even if touched personally do they admit the irrationality of what they suffer and impose. a dead, short-sighted #politics, subordinated to the military as #son. #zingaretti #vaccini #greenpass # covid19 #greenpassobbligatorio link	B280
enough dictatorship❗️, [24 jul 2021 at 21:52] covid, codacons today officially requests the removal from the register for roberto burioni, who in a post defined those who do not undergo the vaccine as' mice 'wishing them' arrests home link link	B518
" covid, the pediatrician angelina farella: ""thinking about subjecting children to this type of vaccine is a crime"": link"	B296
robert f. kennedy jr. on pfizer and fda: „this is a sinister scheme to impose a seriously defective vaccine that has already made history with deaths and injuries, which prevents neither disease nor transmission and does not improve mortality“.	B202
 user_cersei the three great countries in strong political leadership crisis, usa, italy and france, are those with fierce control and persistent health alarm. valid paradigmatic tool, vaccine or pass, to limit and condition citizens' freedoms and inhibit changes of direction.	B476
"""highlights a large amount of #asymptomatic"" so, if the #vaccine would avoid the occurrence of serious symptoms, what the fuck is it really good if there are all asymptomatic sti? freedom deniers were known, now they are not even accustomed to the # tagadala7 logic"	B256
user_sibari user then tell me the vaccine is authorized for emergency sale but remains experimental until 2023 an obligation on the part of the state requires that the state itself take charge of any damage making the signed consent superfluous who will pay?	B201
they get there slowly to say #vaccine #covid mandatory for everyone, from birth to 125 years but give it a couple of months. so now they vaccinate even during pregnancy, then they will pass to the animals you will see. and that will be the moment that the #fruttarians will become many.	B313
 for the record and as you wanted to prove, my colleague's daughter tested positive yesterday. now go to that country you and your vaccine.	B82
 “The main purpose of vaccination is not of a sanitary nature” link	B186
 these provex are very nice.	B65
user a bit like those who wanted the unvaccinated to pay for any treatment out of their own pockets, just shit, huh? so let the vaccinated pay for the vaccine and treatment out of their own pockets, so they learn.	B284
COVID-19. the WHO continues to amaze with the great confusion and contradiction of its members. she is worried and doubtful about the efficacy of vaccines on the 'English variant'. however, he recommends speeding up the vaccination, which is now useless due to the old flu,	B130
user user the obligation of the vaccine precludes only if there is a pandemic, fact and ke if you search the web for the sarsa virus nn and pandemic perke nn lethal, x being lethal ki and infected must die, instead the sarsa, nn e lethal affects i + emaciated with other pathologies and elderly over 80	B279
user we have not forgotten the death of camilla mariani after your open day of death as well as the many post vaccine deaths you concealed. for you it takes a new Nuremberg, you have to pay for your crimes, murderous scoundrels	B337
 user user just analyze the percentages of non-lethality of the covid and those of guarantee of the vaccines, they are similar. it means that vaccines will not change the situation, and we are already seeing this in practice	B342
user user_massimo in the world 4,160,000 people have died which are only 0.06% of the world population the vaccine and the green pass do not have a truly health purpose but a political one they want to introduce a more severe surveillance and citizenship regime than that Chinese ⏰⏰⏰	B393
user user user spread as much as possible, only with the cure the vaccine is blocked. 1) erik grimaldi: early home therapy. 2) links these are Italian associations that, if necessary, just contact them for assistance, and ask for nothing in return	B281
link the spike protein enters the bloodstream and high percentages have been found in the spleen, heart and ovaries of those who have undergone the vaccine. a sample group of 13 sanitary ware. 11/13!	B430
"vaccine overdoses… (and we should be happy too) ""link 91"	B174
"the # autopsy on francesca tuscano, the 32-year-old teacher who died on the day of #Easter, confirmed #death for a ""#thrombotic and cerebral hemorrhagic"" picture. the young woman was inoculated with the #vaccine #astrazeneca on March 22. no anomalies would have emerged at the moment. link"	B434
user equal to us. my children already tell me that if they have to be vaccinated to go out they will. this is the message that passes from the media with the plush tongue.	B263
" “Vaccines must be withdrawn! we discovered that there are no prerequisites for putting them on the market ""▷ avv. holzeisen link via user"	B463
 user user the vaccine is only a means. the goal is the great reset	B147
 meadow dies during the tac. he had had the vaccine two days before the autopsy was ordered - #meadow #dies #during #during #didy link	B235
 the data that worry the inventor of the mrna vaccine (important and forbidden to virologists on TV) link #news #feedly	B420
when will they stop saying untruths? I have always said it and supported it. 1 vaccine for mutating viruses is not needed. 2 the # covid19 is treated very well at home 3 we are still 70% vaccinated but in practice we are worse off than last summer? link	B395
user but they give us a weapon. unite you doctors more than ever and refuse the vaccine. we will see if they will suspend you. those psychologically compromised by covid will go abroad for treatment.	B410
user there is no one who asks if he had had the vaccine ..... but they immediately think of the covid concorezzo, he dies at 15 in his room. now we investigate the covid - chronicle - link link	B183
" user user on the fact that Italians are not ox people I have many reservations. people willing to be vaccinated even with white spirit in order to go on vacation ""immunized"" and ready to sacrifice their children on the altar of the god vax. ox people too little for these people .."	B299
 user try to give an experimental gene vaccine to my children. try it.	B149
 all testimonials of vaccines and pharmaceutical companies are enough	B249
good user barbara, they communicated to me via sms that I could book myself to be vaccinated as they think I was a fragile subject…. I was educated… .but I leave my vaccine to hope….	B426
 user what do you say Mariano ... where do we end up like this? I always ask myself the same thing: if the vaccine (what a vaccine it is, as a declared experimental drug) is safe ... what reason do vaccinated people have to be alarmed? are they protected, aren't they? why all this hatred for those who have	B290
107 euros a month more to be guinea pigs. perugia, 43-year-old policewoman hospitalized after the astrazeneca link vaccine	B317
 here it is ... also infected a girl vaccinated with two doses. why do you break the c ... the unvaccinated? what is the difference? morons! link	B50
"user we warn Mrs. Merkel that the word ""immunized"" for those who have been vaccinated can no longer be used ..covid, infected in 20 out of 360 on the training ship amerigo vespucci, the navy: «they are all vaccinated» link"	B436
 dr. de mari: explains what to do if you stick the magnet in your arm after the vaccine link	B137
